created_at,language,likes,retweets,text
6/12/2020 11:52,en,81122,20530,People have no idea how Fake the Lamestream Media is! https://t.co/qc8c8C7Pin
6/12/2020 11:47,en,0,7259,"RT @dbongino: Minneapolis City Council Wants to Disband Police â€“ Letâ€™s See How That Goes ðŸ‘‡
https://t.co/kCkZiKTuWM"
6/12/2020 11:45,en,0,46807,"RT @RexChapman: Every year in France, there's a ceremony that rarely makes headlines.

Ordinary people &amp; families collect sand from Omaha Bâ€¦"
6/12/2020 5:54,en,0,9315,"RT @joelpollak: Obama Admin Turned Down Renaming of Army Bases: â€˜Reconciliation, Not Divisionâ€˜ 

https://t.co/68fVWWC7uN via @BreitbartNews"
6/12/2020 2:47,en,0,76183,RT @realDonaldTrump: The Radical Left Democrats: First they try to take away your guns. Then they try to take away your police!
6/12/2020 2:47,en,0,18256,RT @WhiteHouse: President @realDonaldTrump has been fighting for the forgotten men &amp; women of America since day one. https://t.co/VZp0E433TM
6/12/2020 1:24,en,323394,76183,The Radical Left Democrats: First they try to take away your guns. Then they try to take away your police!
6/11/2020 22:44,en,0,15899,"RT @WhiteHouse: â€œWe the people will recognize, despite all the forces to the contrary, we are not each other's enemies."" ðŸ‡ºðŸ‡¸ https://t.co/4uâ€¦"
6/11/2020 22:44,en,46974,11373,"Great work @RepChipRoy, together we are keeping AMERICAN WORKERS employed! https://t.co/zYGM7ToHNm"
6/11/2020 22:15,en,0,22490,"RT @WhiteHouse: ""We have to work together to confront bigotry and prejudice wherever they appear. But we'll make no progress and heal no woâ€¦"
6/11/2020 22:15,en,0,10588,"RT @WhiteHouse: ""We're working to finalize an Executive Order that will encourage police departments nationwide to meet the most current prâ€¦"
6/11/2020 22:15,en,0,10216,"RT @WhiteHouse: President @realDonaldTrump announces four steps to build safety, opportunity, and dignity for ALL Americansâ€”and build on viâ€¦"
6/11/2020 22:15,en,0,8379,"RT @WhiteHouse: There has been vigorous conversation on how to ensure fairness, equality, and justice for allâ€”but sadly, some are only tryiâ€¦"
6/11/2020 22:15,en,0,9856,"RT @WhiteHouse: Since day one, President @realDonaldTrump has been fighting for the forgotten men and women of America. https://t.co/Nl4q1oâ€¦"
